Josh Allen,3918298
Devin Singletary,4040761
Zack Moss,4035676
James Cook,4379399
Stefon Diggs,2976212
Gabe Davis,4243537
Jamison Crowder,2576716
Isaiah McKenzie,3128724
Dawson Knox,3930086
Tremaine Edmunds,3929950
Taron Johnson,3121003
Matt Milano,3046287
Dane Jackson,3895791
Micah Hyde,15960
Von Miller,13976
Greg Rousseau,4362506
Jordan Phillips,2577466
Kaiir Elam,4567399
DaQuan Jones,16910
Christian Benford,4379778
Boogie Basham,4037239
Jordan Poyer,15979
Damar Hamlin,4036060
AJ Epenesa,4240585
Ed Oliver,4039303
Jaquan Johnson,3672862
Tim Settle,3929956
Taiwan Jones,14167
Siran Neal,3057524
Tyler Bass,3917232
Matthew Stafford,12483
Darrell Henderson Jr.,4039359
Brandon Powell,3115255
Cam Akers,4240021
Cooper Kupp,2977187
Tyler Higbee,2573401
Ben Skowronek,4035656
Allen Robinson II,16799
Tutu Atwell,4360797
Leonard Floyd,3043136
Justin Hollins,3122678
Troy Hill,2525933
Bobby Wagner,14979
Ernest Jones,4362851
Nick Scott,3116179
Jalen Ramsey,3045373
A'Shawn Robinson,3054857
Taylor Rapp,4039007
Terrell Lewis,4040968
David Long Jr.,4046536
Aaron Donald,16716
Jordan Fuller,4040613
Greg Gaines,3127294
Jake Hummel,4241250
Matt Gay,4249087
Riley Dixon,2577619
Jameis Winston,2969939
Taysom Hill,2468609
Alvin Kamara,3054850
Mark Ingram II,13981
Jarvis Landry,16790
Michael Thomas,2976316
Juwan Johnson,3929645
Chris Olave,4361370
Deonte Harty,4411193
Tyrann Mathieu,15851
Bradley Roby,16719
Pete Werner,4241993
Marcus Maye,2980110
Cameron Jordan,13971
Demario Davis,14958
Marshon Lattimore,3121421
Kaden Elliss,3124890
Kentavius Street,3116726
P.J. Williams,2977661
Shy Tuttle,3886601
J.T. Gray,3115481
Justin Evans,3895859
Carl Granderson,3918310
Marcus Davenport,3124058
Chase Hansen,2971641
Zack Baun,3917657
Cesar Ruiz,4258199
David Onyemata,4002046
Wil Lutz,2985659
Blake Gillikin,4045180
Marcus Mariota,2576980
Cordarrelle Patterson,15807
Avery Williams,4048259
Damien Williams,17359
Drake London,4426502
Olamide Zaccheaus,3917914
KhaDarel Hodge,3047876
Kyle Pitts,4360248
Anthony Firkser,3049698
Parker Hesse,3144991
Bryan Edwards,4038818
Rashaan Evans,3126349
Richie Grant,4042119
Jaylinn Hawkins,3858276
Mykal Walker,4243009
Grady Jarrett,2576492
A.J. Terrell,4239995
Casey Hayward,14966
Mike Ford,3050916
Adetokunbo Ogundeji,4046693
Dee Alford,4401823
Lorenzo Carter,3128715
Arnold Ebiketie,4257591
Dean Marlowe,2519038
Timmy Horne,4045701
Matt Dickerson,3134316
Quinton Bell,3933407
Anthony Rush,4239817
Ta'Quon Graham,4262197
Younghoe Koo,3049899
Bradley Pinion,2977680
Trey Lance,4383351
Deebo Samuel,3126486
Elijah Mitchell,4241555
Jeff Wilson Jr.,3122976
